iter	Logloss
0	0.6825267217
1	0.6730977806
2	0.6649255908
3	0.6567848326
4	0.6492709033
5	0.6415037658
6	0.6345954292
7	0.6280287725
8	0.621894561
9	0.6164049622
10	0.6109633826
11	0.6055984741
12	0.6014704364
13	0.5966372541
14	0.5922426545
15	0.5883330495
16	0.5844586531
17	0.5811890467
18	0.5778223098
19	0.5746039056
20	0.5715044925
21	0.5687979359
22	0.5663663639
23	0.5641545737
24	0.5620105196
25	0.5598793684
26	0.5577624609
27	0.5555878137
28	0.5539033376
29	0.552529054
30	0.5509524477
31	0.5493710627
32	0.5478610647
33	0.5464153913
34	0.5452111717
35	0.5437974809
36	0.5424487622
37	0.5412597741
38	0.540159519
39	0.538864835
40	0.5377931867
41	0.5366562626
42	0.5356272163
43	0.5344324647
44	0.5335801444
45	0.5326335411
46	0.5319226598
47	0.531136454
48	0.5304020224
49	0.5298014113
50	0.5292091073
51	0.5285830649
52	0.5278706471
53	0.5271208522
54	0.5265342449
55	0.5260330339
56	0.5255448745
57	0.5250502414
58	0.5243929552
59	0.5239185365
60	0.523470579
61	0.523061931
62	0.5224724136
63	0.5219628853
64	0.5214645562
65	0.5211205741
66	0.5205878136
67	0.5201448757
68	0.519693447
69	0.5193551111
70	0.5188442899
71	0.5184114144
72	0.518068713
73	0.5176529342
74	0.5172504604
75	0.5169588921
76	0.5166729737
77	0.5164395044
78	0.5160633205
79	0.5157074482
80	0.5153535287
81	0.5150196116
82	0.5147641111
83	0.5144662932
84	0.5141881753
85	0.5139006406
86	0.5136311185
87	0.5133854471
88	0.513050383
89	0.5127525451
90	0.5124668108
91	0.5122468711
92	0.5120432
93	0.5116848391
94	0.5113809135
95	0.5111752034
96	0.5109309003
97	0.5107206227
98	0.5105107432
99	0.51028466
100	0.5100874289
101	0.5097974478
102	0.5096587789
103	0.5095069809
104	0.5093308286
105	0.5090317471
106	0.5088628767
107	0.5085245616
108	0.5083391276
109	0.5081667555
110	0.5080107449
111	0.5078222916
112	0.5076066478
113	0.5073790618
114	0.5070979388
115	0.5069068297
116	0.5067431869
117	0.5066473569
118	0.5064706823
119	0.5063258489
120	0.5061285663
121	0.5059359079
122	0.5058004243
123	0.5056732218
124	0.5054373724
125	0.5053013413
126	0.5051828607
127	0.505008119
128	0.5048821273
129	0.5046796862
130	0.504508492
131	0.504334238
132	0.5041986611
133	0.504084522
134	0.5038654414
135	0.5037976649
136	0.503611157
137	0.5033881952
138	0.5031287127
139	0.5030461642
140	0.5029408737
141	0.5027493867
142	0.5026108105
143	0.5024429417
144	0.5023389579
145	0.502126897
146	0.5019556447
147	0.5018394218
148	0.5016188993
149	0.501437644
150	0.5012842262
151	0.5011764217
152	0.5009949971
153	0.5008398604
154	0.5006654036
155	0.5005249074
156	0.500444498
157	0.5003419746
158	0.500242016
159	0.5000910183
160	0.5000314208
161	0.4999191538
162	0.4997671385
163	0.4996399294
164	0.4995221332
165	0.4994506445
166	0.4993416439
167	0.4992166312
168	0.4991571783
169	0.4990480714
170	0.4989159716
171	0.4987169751
172	0.4985304614
173	0.4984315953
174	0.4983767393
175	0.4982929741
176	0.4981921075
177	0.4980826806
178	0.4979721166
179	0.49792081
180	0.4978318945
181	0.4977369734
182	0.4976562012
183	0.4975289276
184	0.4974577223
185	0.4974088813
186	0.4973366802
187	0.4972461892
188	0.4971854577
189	0.4970998223
190	0.4969844977
191	0.4967956057
192	0.4967379982
193	0.4966306348
194	0.4965406192
195	0.4964086938
196	0.4962196489
197	0.4961671604
198	0.496089181
199	0.4959697597
200	0.4959055919
201	0.4958657067
202	0.4957663485
203	0.4957137388
204	0.4956029335
205	0.4954926157
206	0.4954441846
207	0.4953176947
208	0.4953080768
209	0.4952462947
210	0.4950776506
211	0.4950365268
212	0.4949305428
213	0.4948575453
214	0.4948268629
215	0.4947342755
216	0.4946333777
217	0.494609231
218	0.4945204638
219	0.4944619921
220	0.4943530725
221	0.4942834746
222	0.4941933388
223	0.4941284463
224	0.4940844105
225	0.4940355437
226	0.4939133688
227	0.4938115484
228	0.4937202079
229	0.4936461798
230	0.4935380394
231	0.4934916404
232	0.4933271266
233	0.4931749156
234	0.493073424
235	0.4929543006
236	0.4928884189
237	0.4928230534
238	0.492749255
239	0.4926919163
240	0.4926301193
241	0.4925741421
242	0.492480774
243	0.4923477766
244	0.4922704214
245	0.4922175417
246	0.4920678134
247	0.4919420412
248	0.4918856324
249	0.4918152526
250	0.4917602385
251	0.4916861135
252	0.4915396024
253	0.4914589888
254	0.4914067892
255	0.4913057333
256	0.4912556102
257	0.4912039416
258	0.4910933451
259	0.4910439581
260	0.4909693905
261	0.4909253317
262	0.4908815995
263	0.4908306618
264	0.49078719
265	0.4907483193
266	0.4907109127
267	0.4906508212
268	0.4905768778
269	0.4904930459
270	0.490440217
271	0.490395667
272	0.4903335507
273	0.4901900665
274	0.4900901943
275	0.490027768
276	0.4899733507
277	0.4898989991
278	0.4898567881
279	0.489777582
280	0.4896914657
281	0.4896625688
282	0.4896064183
283	0.4895741489
284	0.4895466979
285	0.4894812091
286	0.4893964331
287	0.4893389399
288	0.4892785839
289	0.4892445317
290	0.4891186843
291	0.4890553526
292	0.4889728846
293	0.4889057932
294	0.488815468
295	0.4887879297
296	0.4887287762
297	0.4886538621
298	0.4885942672
299	0.488566856
300	0.488536609
301	0.4884416511
302	0.4883925219
303	0.4883213687
304	0.4882473905
305	0.4880795057
306	0.4880346142
307	0.4878948167
308	0.4877970981
309	0.4877498241
310	0.4877152759
311	0.4876660036
312	0.4876241094
313	0.4875853943
314	0.4875090869
315	0.487465196
316	0.4873877599
317	0.4873441871
318	0.4872911677
319	0.487240475
320	0.4871796407
321	0.487089744
322	0.4870413897
323	0.4869802773
324	0.4869202951
325	0.4868818243
326	0.4868106412
327	0.4867653448
328	0.4866800094
329	0.4866229818
330	0.48658482
331	0.486550121
332	0.4864603372
333	0.4863457526
334	0.486233486
335	0.4861605716
336	0.4861305264
337	0.4860572044
338	0.4860048161
339	0.4859262366
340	0.4858545345
341	0.4857615241
342	0.4856989061
343	0.4856135209
344	0.4855312922
345	0.4854724719
346	0.4854241267
347	0.4853586597
348	0.485275261
349	0.4851778947
350	0.4851226299
351	0.4850895309
352	0.4850211175
353	0.4849181104
354	0.4848848915
355	0.4848059006
356	0.4847299903
357	0.4846847012
358	0.4845756343
359	0.4844999507
360	0.4844305899
361	0.4843741278
362	0.4842695266
363	0.4842442912
364	0.484183952
365	0.4841205085
366	0.484044627
367	0.4839898512
368	0.4838804626
369	0.4837845901
370	0.4837106744
371	0.483639933
372	0.4836017069
373	0.483538896
374	0.4834766379
375	0.4833972907
376	0.483348084
377	0.4832617603
378	0.4831801024
379	0.4831237845
380	0.4830464148
381	0.4829878093
382	0.4829326973
383	0.4828313432
384	0.4827649091
385	0.4827038086
386	0.4826129461
387	0.4825018165
388	0.4824188277
389	0.482373189
390	0.4822866273
391	0.482212905
392	0.4821686432
393	0.4820673836
394	0.4820119774
395	0.4819508702
396	0.4818964209
397	0.4818275008
398	0.4817585923
399	0.4816934944
400	0.4816429992
401	0.4815899897
402	0.481465592
403	0.4814078957
404	0.4813632681
