iter	Passed	Remaining
0	176	351830
1	183	183453
2	190	126551
3	196	98152
4	203	81092
5	209	69504
6	215	61215
7	220	54914
8	226	50059
9	231	46141
10	237	42909
11	243	40279
12	249	38104
13	254	36153
14	260	34519
15	266	33102
16	272	31768
17	278	30700
18	284	29687
19	290	28775
20	296	27977
21	302	27240
22	309	26576
23	315	26009
24	322	25454
25	329	24985
26	335	24533
27	341	24086
28	348	23681
29	354	23304
30	361	22952
31	367	22630
32	375	22393
33	383	22194
34	391	21993
35	398	21752
36	405	21502
37	411	21231
38	416	20954
39	422	20683
40	427	20433
41	433	20204
42	439	19987
43	444	19775
44	450	19566
45	456	19372
46	461	19183
47	467	19001
48	473	18843
49	478	18676
50	484	18526
51	490	18384
52	496	18241
53	502	18120
54	508	17979
55	513	17841
56	519	17719
57	525	17595
58	531	17471
59	536	17358
60	542	17235
61	548	17137
62	554	17044
63	560	16952
64	566	16867
65	572	16763
66	577	16667
67	583	16575
68	589	16485
69	595	16410
70	601	16337
71	607	16254
72	612	16168
73	618	16093
74	624	16018
75	629	15934
76	635	15863
77	640	15787
78	646	15711
79	652	15648
80	657	15579
81	663	15520
82	669	15457
83	674	15391
84	680	15329
85	686	15271
86	691	15207
87	697	15145
88	702	15087
89	707	15022
90	713	14971
91	719	14930
92	725	14878
93	731	14839
94	737	14788
95	742	14736
96	748	14693
97	754	14639
98	759	14583
99	765	14544
100	770	14494
101	776	14450
102	783	14424
103	788	14378
104	794	14335
105	800	14306
106	806	14262
107	811	14224
108	817	14180
109	822	14136
110	828	14103
111	834	14063
112	839	14024
113	845	13993
114	851	13955
115	856	13916
116	862	13881
117	867	13841
118	873	13805
119	879	13778
120	884	13740
121	890	13711
122	896	13685
123	902	13652
124	908	13625
125	914	13601
126	920	13570
127	926	13549
128	932	13522
129	938	13494
130	944	13474
131	950	13445
132	955	13411
133	961	13385
134	966	13353
135	972	13326
136	978	13305
137	983	13276
138	989	13252
139	995	13226
140	1001	13201
141	1006	13174
142	1012	13153
143	1018	13126
144	1024	13103
145	1029	13076
146	1035	13049
147	1041	13028
148	1046	13003
149	1052	12977
150	1058	12956
151	1063	12929
152	1069	12905
153	1074	12885
154	1080	12860
155	1085	12834
156	1091	12812
157	1096	12785
158	1102	12762
159	1108	12743
160	1113	12716
161	1118	12691
162	1124	12673
163	1129	12650
164	1135	12629
165	1141	12608
166	1146	12583
167	1152	12567
168	1157	12544
169	1162	12518
170	1168	12498
171	1174	12478
172	1179	12458
173	1185	12441
174	1190	12417
175	1196	12398
176	1202	12382
177	1208	12366
178	1214	12354
179	1220	12340
180	1226	12323
181	1231	12304
182	1237	12289
183	1243	12273
184	1249	12259
185	1255	12244
186	1260	12224
187	1267	12211
188	1272	12192
189	1278	12175
190	1284	12162
191	1290	12148
192	1295	12128
193	1301	12114
194	1307	12098
195	1312	12083
196	1318	12064
197	1323	12049
198	1329	12031
199	1335	12016
200	1340	12002
201	1346	11987
202	1353	11980
203	1359	11968
204	1365	11955
205	1371	11944
206	1377	11932
207	1383	11922
208	1387	11885
209	1392	11870
210	1399	11863
211	1404	11849
212	1410	11835
213	1416	11823
214	1422	11806
215	1427	11792
216	1433	11779
217	1438	11762
218	1444	11748
219	1450	11737
220	1456	11723
221	1462	11709
222	1467	11694
223	1472	11675
224	1478	11660
225	1483	11645
226	1489	11633
227	1495	11622
228	1500	11607
229	1506	11591
230	1511	11578
231	1517	11561
232	1522	11547
233	1528	11534
234	1534	11522
235	1539	11507
236	1545	11495
237	1550	11481
238	1556	11466
239	1562	11456
240	1567	11440
241	1573	11429
242	1579	11417
243	1584	11402
244	1589	11388
245	1595	11377
246	1601	11364
247	1606	11352
248	1612	11337
249	1617	11324
250	1623	11312
251	1628	11299
252	1634	11286
253	1640	11276
254	1645	11263
255	1651	11249
256	1656	11237
257	1662	11224
258	1668	11212
259	1673	11200
260	1679	11187
261	1684	11174
262	1690	11164
263	1695	11151
264	1701	11138
265	1706	11126
266	1712	11114
267	1718	11104
268	1724	11094
269	1729	11081
270	1734	11068
271	1740	11057
272	1746	11046
273	1751	11034
274	1757	11024
275	1762	11011
276	1768	10998
277	1774	10991
278	1779	10978
279	1784	10964
280	1790	10954
281	1795	10940
282	1801	10927
283	1807	10918
284	1812	10906
285	1818	10895
286	1823	10886
287	1829	10872
288	1834	10863
289	1840	10852
290	1845	10840
291	1851	10831
292	1857	10819
293	1862	10807
294	1868	10799
295	1873	10787
296	1879	10775
297	1885	10767
298	1891	10760
299	1896	10748
300	1902	10740
301	1908	10731
302	1914	10722
303	1920	10716
304	1926	10704
305	1931	10692
306	1936	10681
307	1942	10670
308	1947	10659
309	1953	10647
310	1958	10635
311	1963	10623
312	1969	10613
313	1974	10601
314	1979	10589
315	1984	10578
316	1990	10566
317	1995	10555
318	2001	10547
319	2007	10539
320	2013	10532
321	2018	10520
322	2024	10512
323	2030	10502
324	2036	10495
325	2041	10484
326	2047	10477
327	2053	10468
328	2059	10459
329	2065	10450
330	2070	10441
331	2076	10430
332	2082	10423
333	2087	10413
334	2092	10402
335	2098	10393
336	2103	10382
337	2109	10371
338	2114	10362
339	2120	10353
340	2126	10346
341	2132	10338
342	2138	10328
343	2144	10321
344	2149	10312
345	2155	10301
346	2160	10293
347	2166	10283
348	2171	10273
349	2177	10265
350	2182	10255
351	2188	10244
352	2194	10237
353	2199	10228
354	2205	10217
355	2211	10211
356	2216	10202
357	2222	10192
358	2228	10186
359	2234	10177
360	2239	10167
361	2245	10159
362	2250	10149
363	2256	10141
364	2262	10133
365	2267	10122
366	2273	10114
367	2278	10104
368	2283	10094
369	2289	10084
370	2294	10073
371	2299	10063
372	2305	10054
373	2310	10045
374	2315	10035
375	2321	10026
376	2327	10018
377	2332	10009
378	2338	10001
379	2343	9992
380	2349	9983
381	2355	9976
382	2360	9967
383	2366	9958
384	2372	9951
385	2377	9942
386	2383	9934
387	2389	9926
388	2394	9917
389	2400	9908
390	2406	9901
391	2411	9891
392	2417	9883
393	2422	9875
394	2428	9867
395	2433	9857
396	2439	9849
397	2445	9842
398	2450	9834
399	2456	9826
400	2461	9817
401	2467	9806
402	2472	9798
403	2477	9788
404	2483	9779
405	2489	9773
406	2494	9764
407	2500	9755
408	2505	9747
409	2511	9738
410	2516	9729
411	2522	9722
412	2528	9714
413	2533	9706
414	2539	9698
415	2544	9689
416	2549	9679
417	2555	9670
418	2560	9661
419	2566	9654
420	2571	9646
421	2577	9637
422	2582	9629
423	2587	9619
424	2593	9610
425	2598	9601
426	2604	9593
427	2609	9584
428	2615	9578
429	2621	9570
430	2626	9562
431	2632	9555
432	2638	9547
433	2643	9538
434	2648	9530
435	2654	9521
436	2659	9513
437	2665	9506
438	2671	9497
439	2676	9488
440	2681	9480
441	2687	9471
442	2692	9462
443	2697	9454
444	2703	9445
445	2708	9438
446	2714	9430
447	2719	9422
448	2725	9414
449	2730	9405
450	2736	9397
451	2741	9390
452	2747	9382
453	2753	9375
454	2758	9366
455	2764	9359
456	2769	9349
457	2774	9341
458	2780	9334
459	2785	9326
460	2791	9318
461	2797	9314
462	2803	9305
463	2808	9297
464	2815	9293
465	2820	9285
466	2826	9279
467	2833	9274
468	2838	9266
469	2844	9261
470	2850	9254
471	2856	9247
472	2863	9243
473	2869	9237
474	2875	9231
475	2882	9227
476	2887	9220
477	2894	9214
478	2899	9208
479	2905	9200
480	2911	9195
481	2917	9187
482	2923	9180
483	2929	9176
484	2935	9168
485	2941	9163
486	2947	9157
487	2952	9149
488	2959	9143
489	2965	9137
490	2970	9130
491	2977	9125
492	2982	9117
493	2988	9111
494	2994	9104
495	2999	9095
496	3005	9089
497	3011	9082
498	3017	9075
499	3022	9068
500	3028	9061
501	3033	9053
502	3039	9046
503	3045	9039
504	3050	9031
505	3056	9025
506	3062	9018
507	3067	9010
508	3073	9004
